Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 1246.90, 4.75, 1.70, 135.60, 17968.29
11.00, 0.00, 1246.00, 4.75, 1.69, 135.60, 17966.32
23.00, 0.00, 1245.90, 4.76, 1.70, 135.60, 17948.55
36.00, 0.00, 105.30, 5.96, 1.66, 135.60, 17944.60
48.00, 0.00, 781.00, 5.26, 1.64, 134.85, 17492.68
60.00, 0.00, 417.10, 5.65, 1.55, 132.75, 14372.24
72.00, 0.00, 277.40, 5.81, 1.43, 129.15, 8758.30
84.00, 0.00, 204.00, 5.89, 1.29, 121.65, 2902.44
96.00, 0.00, 152.70, 5.94, 1.17, 109.35, 202.44
108.00, 0.00, 148.20, 5.93, 1.05, 96.45, 8.71
120.00, 0.00, 274.50, 5.76, 0.94, 84.00, 191.17
132.00, 0.00, 794.30, 5.34, 0.86, 78.45, 2445.41
144.00, 0.00, 1268.00, 4.78, 0.85, 75.75, 10194.89
156.00, 0.00, 1250.10, 4.79, 0.85, 74.55, 18553.43
168.00, 0.00, 1249.00, 4.81, 0.85, 74.85, 21685.02
180.00, 0.00, 1248.50, 4.76, 0.85, 74.85, 22897.91
192.00, 0.00, 1248.10, 4.75, 0.85, 74.85, 22780.37
204.00, 0.00, 1248.10, 4.77, 0.86, 74.70, 21803.95
216.00, 0.00, 1246.30, 4.80, 0.85, 74.85, 21880.14
228.00, 0.00, 1245.60, 4.76, 0.86, 74.85, 22487.57
240.00, 0.00, 1245.70, 4.80, 0.85, 74.85, 22345.06
252.00, 0.00, 1244.90, 4.75, 0.86, 74.85, 22287.46
264.00, 0.00, 1244.00, 4.80, 0.85, 74.85, 22454.01
276.00, 0.00, 1244.40, 4.77, 0.85, 74.85, 22017.31
288.00, 0.00, 1243.50, 4.78, 0.85, 74.85, 21664.34
300.00, 0.00, 1242.40, 4.77, 0.86, 74.85, 22022.53
312.00, 0.00, 1242.20, 4.79, 0.86, 74.85, 22312.20
324.00, 0.00, 1242.10, 4.77, 0.85, 74.85, 22168.53
337.00, 0.00, 1241.10, 4.80, 0.86, 74.85, 21966.67
349.00, 0.00, 1241.00, 4.76, 0.85, 74.85, 21827.18
361.00, 0.00, 1240.80, 4.76, 0.86, 74.85, 21898.96
373.00, 0.00, 1239.70, 4.81, 0.86, 74.85, 22052.96
385.00, 0.00, 1239.10, 4.77, 0.84, 74.85, 22008.02
397.00, 0.00, 1239.40, 4.76, 0.85, 74.85, 21899.19
409.00, 0.00, 1238.80, 4.77, 0.86, 74.85, 21901.39
421.00, 0.00, 1237.70, 4.76, 0.85, 74.85, 21926.95
433.00, 0.00, 1237.80, 4.76, 0.86, 74.85, 21903.60
445.00, 0.00, 1237.90, 4.80, 0.86, 74.85, 21879.44
457.00, 0.00, 1236.50, 4.80, 0.85, 74.85, 21873.98
469.00, 0.00, 1236.30, 4.79, 0.85, 74.85, 21883.86
481.00, 0.00, 1236.90, 4.76, 0.85, 74.85, 21864.81
493.00, 0.00, 1235.60, 4.77, 0.89, 74.85, 21840.65
505.00, 0.00, 1235.20, 4.76, 0.86, 74.85, 21835.54
517.00, 0.00, 1235.50, 4.81, 0.85, 74.85, 21837.75
529.00, 0.00, 1235.00, 4.78, 0.84, 74.85, 21813.59
541.00, 0.00, 1233.80, 4.81, 0.87, 74.85, 21803.25
553.00, 0.00, 1234.30, 4.80, 0.85, 74.85, 21805.81
565.00, 0.00, 1233.50, 4.79, 0.85, 74.85, 21805.92
577.00, 0.00, 1233.20, 4.77, 0.85, 74.85, 21783.51
589.00, 0.00, 1232.90, 4.81, 0.86, 74.85, 21778.98
