Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 1.00, 1337.80, 4.81, 2.73, 258.75, 19919.51
5.00, 1.00, 1337.70, 4.82, 2.74, 258.75, 19933.68
17.00, 1.00, 1335.70, 4.83, 2.74, 258.75, 19919.51
29.00, 1.00, 1336.70, 4.82, 2.74, 258.75, 19914.52
41.00, 1.00, 921.20, 4.89, 2.72, 258.75, 19919.05
53.00, 1.00, 93.80, 6.09, 2.72, 258.75, 19917.54
65.00, 1.00, 48.90, 6.11, 2.74, 258.75, 19884.79
77.00, 1.00, 443.60, 5.44, 2.78, 259.50, 19216.72
89.00, 1.00, 150.60, 6.11, 2.86, 261.45, 15766.09
101.00, 1.00, 52.70, 6.11, 2.91, 265.35, 9426.02
113.00, 1.00, 8.20, 6.12, 2.96, 269.85, 2645.99
125.00, 1.00, 26.40, 6.10, 2.98, 273.45, 69.45
137.00, 1.00, 29.00, 6.11, 2.99, 275.10, -40.77
149.00, 1.00, 23.40, 5.88, 2.99, 275.85, -9.29
161.00, 1.00, 10.40, 6.04, 2.98, 275.55, 18.00
173.00, 1.00, 19.20, 5.99, 2.99, 275.55, -38.44
185.00, 1.00, 18.10, 6.03, 2.99, 275.40, -63.76
197.00, 1.00, 18.90, 6.00, 2.99, 275.40, -38.21
209.00, 1.00, 20.30, 5.93, 2.98, 275.40, -37.28
222.00, 1.00, 21.70, 5.88, 2.99, 275.40, -18.70
234.00, 1.00, 18.30, 6.03, 2.99, 275.40, -52.96
246.00, 1.00, 18.10, 6.07, 2.99, 275.40, -48.32
258.00, 1.00, 11.00, 6.12, 3.00, 275.40, -34.61
270.00, 1.00, 20.60, 6.12, 3.00, 275.25, -37.05
282.00, 1.00, 17.90, 6.11, 2.99, 275.25, -57.38
294.00, 1.00, 16.80, 6.15, 2.99, 275.25, -55.98
306.00, 1.00, 11.00, 6.10, 3.00, 275.25, -57.49
318.00, 1.00, 17.10, 6.11, 2.99, 275.25, -58.42
330.00, 1.00, 5.60, 6.12, 2.99, 275.25, -45.18
342.00, 1.00, 15.50, 6.07, 3.00, 275.25, -56.68
354.00, 1.00, 17.80, 6.14, 2.99, 275.25, -50.64
366.00, 1.00, 15.50, 6.13, 2.99, 275.25, -42.51
378.00, 1.00, 13.00, 6.15, 3.00, 275.25, -33.80
390.00, 1.00, 17.70, 5.95, 2.99, 275.25, -33.33
402.00, 1.00, 17.30, 6.11, 3.00, 275.25, -41.23
414.00, 1.00, 5.60, 6.14, 2.99, 275.25, -44.83
426.00, 1.00, 17.40, 6.11, 3.00, 275.25, -49.94
438.00, 1.00, 5.60, 6.13, 2.99, 275.25, -37.63
450.00, 1.00, 16.60, 6.10, 3.00, 275.25, -32.87
462.00, 1.00, 18.20, 6.10, 2.99, 275.25, -44.83
474.00, 1.00, 5.20, 6.10, 2.98, 275.25, -39.02
486.00, 1.00, 15.30, 6.12, 2.99, 275.25, -39.95
498.00, 1.00, 17.30, 6.13, 3.00, 275.25, -49.48
510.00, 1.00, 17.90, 6.10, 2.99, 275.25, -45.76
523.00, 1.00, 13.30, 6.12, 2.99, 275.25, -46.46
535.00, 1.00, 17.90, 6.15, 2.99, 275.25, -42.86
547.00, 1.00, 22.70, 5.96, 3.00, 275.25, -44.95
559.00, 1.00, 18.60, 6.14, 2.99, 275.25, -41.93
571.00, 1.00, 20.80, 6.17, 2.99, 275.25, -39.14
583.00, 1.00, 16.70, 6.14, 2.99, 275.25, -34.84
