Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.33, 1357.80, 4.91, 0.85, 77.70, 15966.20
5.00, 0.33, 1357.80, 4.91, 0.86, 77.70, 15944.95
17.00, 0.33, 1356.60, 4.92, 0.86, 77.70, 15947.85
29.00, 0.33, 933.80, 4.92, 0.86, 77.70, 15943.79
41.00, 0.33, 701.60, 5.75, 0.88, 77.70, 15932.64
54.00, 0.33, 100.70, 6.14, 0.86, 77.85, 15744.60
66.00, 0.33, 9.80, 6.14, 0.90, 78.15, 14545.88
78.00, 0.33, 365.80, 5.62, 0.94, 78.75, 11478.63
90.00, 0.33, 215.80, 6.17, 1.00, 79.35, 6601.63
102.00, 0.33, 104.00, 5.97, 1.06, 83.85, 2078.40
114.00, 0.33, 14.90, 5.98, 1.11, 90.00, 166.09
126.00, 0.33, 9.10, 6.17, 1.13, 94.35, 5.81
138.00, 0.33, 4.90, 6.17, 1.15, 96.60, -2.67
150.00, 0.33, 17.70, 6.17, 1.14, 97.50, 12.66
162.00, 0.33, 15.40, 6.15, 1.15, 97.95, 31.01
174.00, 0.33, 5.70, 6.14, 1.15, 97.80, 8.36
186.00, 0.33, 5.80, 6.16, 1.14, 97.80, -9.18
198.00, 0.33, 4.80, 6.17, 1.14, 97.80, -13.01
210.00, 0.33, 13.90, 6.17, 1.14, 97.80, -19.74
222.00, 0.33, 5.90, 6.15, 1.14, 97.65, -17.07
234.00, 0.33, 5.20, 6.17, 1.14, 97.65, -2.44
246.00, 0.33, 11.60, 6.16, 1.14, 97.65, 7.55
258.00, 0.33, 5.60, 6.17, 1.14, 97.65, 3.83
270.00, 0.33, 5.70, 6.17, 1.14, 97.65, 6.27
282.00, 0.33, 5.40, 6.17, 1.14, 97.65, 3.60
294.00, 0.33, 4.90, 6.17, 1.14, 97.65, 5.11
306.00, 0.33, 6.00, 6.14, 1.14, 97.65, -0.81
318.00, 0.33, 4.80, 6.16, 1.15, 97.65, 2.21
330.00, 0.33, 4.80, 6.17, 1.15, 97.65, 7.32
342.00, 0.33, 5.70, 6.13, 1.14, 97.65, 12.89
354.00, 0.33, 5.50, 6.15, 1.14, 97.65, 1.74
366.00, 0.33, 14.50, 6.14, 1.14, 97.65, 12.43
379.00, 0.33, 4.60, 6.15, 1.13, 97.65, 14.29
391.00, 0.33, 5.50, 6.16, 1.14, 97.65, 18.82
403.00, 0.33, 5.40, 6.14, 1.15, 97.65, 14.40
415.00, 0.33, 14.20, 6.15, 1.14, 97.65, 18.47
427.00, 0.33, 5.30, 6.15, 1.14, 97.65, 18.70
439.00, 0.33, 5.40, 6.15, 1.15, 97.65, 19.05
451.00, 0.33, 5.50, 6.16, 1.15, 97.65, 15.68
463.00, 0.33, 5.40, 6.15, 1.15, 97.65, 9.29
475.00, 0.33, 5.40, 6.13, 1.14, 97.65, 5.92
487.00, 0.33, 14.20, 6.11, 1.14, 97.65, 3.37
499.00, 0.33, 5.50, 6.14, 1.14, 97.65, -1.16
511.00, 0.33, 5.80, 6.15, 1.14, 97.65, 16.03
523.00, 0.33, 5.40, 6.16, 1.14, 97.65, 11.61
535.00, 0.33, 5.20, 6.16, 1.14, 97.65, -1.51
547.00, 0.33, 5.60, 6.17, 1.14, 97.65, 2.09
559.00, 0.33, 4.70, 6.14, 1.14, 97.65, -4.30
571.00, 0.33, 5.30, 6.17, 1.14, 97.65, 0.12
583.00, 0.33, 14.30, 6.14, 1.15, 97.65, 18.47
