Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 16.70, 6.10, 1.14, 96.60, 17.89
13.00, 0.00, 661.80, 5.26, 1.14, 96.60, 29.27
25.00, 0.00, 695.90, 5.28, 1.09, 95.40, 39.14
37.00, 0.00, 410.30, 5.65, 1.01, 89.25, 35.31
49.00, 0.00, 302.20, 5.80, 0.92, 80.25, 24.97
61.00, 0.00, 226.60, 5.87, 0.80, 69.45, 18.70
73.00, 0.00, 188.30, 5.91, 0.69, 57.75, 20.91
85.00, 0.00, 167.20, 5.91, 0.58, 45.60, 25.67
97.00, 0.00, 42.70, 6.17, 0.47, 33.45, 8.36
109.00, 0.00, 57.20, 5.80, 0.38, 21.45, 8.83
121.00, 0.00, 53.90, 6.12, 0.31, 12.15, 19.98
133.00, 0.00, 28.00, 6.07, 0.29, 6.30, 25.32
145.00, 0.00, 36.20, 6.10, 0.27, 3.45, 26.25
157.00, 0.00, 21.90, 6.10, 0.26, 1.95, 20.09
169.00, 0.00, 15.70, 6.09, 0.24, 1.20, 18.23
181.00, 0.00, 17.60, 5.89, 0.25, 0.90, 21.84
193.00, 0.00, 19.20, 6.07, 0.26, 0.90, 25.09
205.00, 0.00, 18.90, 6.08, 0.25, 0.75, 25.09
217.00, 0.00, 18.40, 6.07, 0.26, 0.75, 20.21
229.00, 0.00, 18.40, 6.08, 0.26, 0.75, 14.52
242.00, 0.00, 18.10, 6.08, 0.26, 0.75, -1.39
254.00, 0.00, 18.20, 6.09, 0.26, 0.75, 2.67
266.00, 0.00, 17.90, 6.09, 0.26, 0.75, 10.80
278.00, 0.00, 18.10, 6.08, 0.25, 0.75, 15.80
290.00, 0.00, 18.00, 6.11, 0.25, 0.75, 17.65
302.00, 0.00, 18.10, 6.11, 0.25, 0.75, 23.11
314.00, 0.00, 18.00, 6.11, 0.25, 0.75, 23.11
326.00, 0.00, 18.40, 6.07, 0.25, 0.75, 25.20
338.00, 0.00, 18.10, 6.07, 0.25, 0.75, 3.25
350.00, 0.00, 18.30, 5.95, 0.25, 0.75, -2.90
362.00, 0.00, 18.10, 6.08, 0.25, 0.75, 7.20
374.00, 0.00, 18.20, 6.10, 0.26, 0.75, 17.89
386.00, 0.00, 18.00, 6.09, 0.25, 0.75, 19.63
398.00, 0.00, 18.30, 6.11, 0.26, 0.75, 27.76
410.00, 0.00, 18.00, 6.09, 0.25, 0.75, 24.62
422.00, 0.00, 18.30, 6.07, 0.26, 0.75, 25.55
434.00, 0.00, 18.40, 6.07, 0.26, 0.75, 28.22
446.00, 0.00, 18.10, 6.09, 0.26, 0.75, 8.59
458.00, 0.00, 18.00, 6.09, 0.27, 0.75, 14.17
470.00, 0.00, 17.90, 6.09, 0.25, 0.75, 26.36
482.00, 0.00, 18.10, 6.10, 0.26, 0.75, 9.52
494.00, 0.00, 18.10, 6.11, 0.26, 0.75, 11.03
506.00, 0.00, 18.30, 6.06, 0.26, 0.75, 26.25
518.00, 0.00, 18.10, 6.07, 0.25, 0.75, 36.12
530.00, 0.00, 18.00, 6.07, 0.26, 0.75, 32.52
542.00, 0.00, 18.40, 5.87, 0.26, 0.75, 31.36
554.00, 0.00, 18.10, 6.03, 0.25, 0.75, 24.97
566.00, 0.00, 16.10, 6.10, 0.25, 0.75, 23.58
578.00, 0.00, 15.90, 6.10, 0.25, 0.75, 23.11
590.00, 0.00, 18.00, 6.07, 0.25, 0.75, 15.45
