Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.50, 1394.90, 4.79, 2.14, 174.75, 23495.36
4.00, 0.50, 1394.90, 4.81, 2.14, 174.75, 23497.91
16.00, 0.50, 1394.70, 4.83, 2.15, 174.75, 23486.06
28.00, 0.50, 1393.60, 4.82, 2.15, 174.75, 23484.32
40.00, 0.50, 791.90, 5.92, 2.14, 174.75, 23487.11
52.00, 0.50, 796.80, 4.89, 2.12, 174.75, 23483.51
64.00, 0.50, 307.50, 5.87, 2.11, 174.75, 23441.58
76.00, 0.50, 484.10, 5.64, 2.03, 173.25, 22542.63
88.00, 0.50, 254.60, 5.86, 1.93, 169.35, 17366.55
100.00, 0.50, 86.20, 5.92, 1.78, 165.15, 9376.19
112.00, 0.50, 20.60, 6.13, 1.70, 155.40, 2483.51
124.00, 0.50, 75.30, 6.14, 1.63, 146.55, 121.02
136.00, 0.50, 109.80, 6.13, 1.61, 138.90, 74.10
148.00, 0.50, 34.00, 6.12, 1.61, 138.45, 148.32
160.00, 0.50, 35.40, 6.13, 1.59, 138.15, 17.77
172.00, 0.50, 45.40, 6.13, 1.61, 138.15, 9.41
184.00, 0.50, 30.90, 6.14, 1.61, 138.15, 19.28
196.00, 0.50, 20.30, 5.98, 1.61, 138.45, 43.32
208.00, 0.50, 8.30, 6.15, 1.61, 138.75, 31.13
220.00, 0.50, 5.70, 6.14, 1.62, 138.90, 29.50
232.00, 0.50, 17.20, 6.11, 1.61, 138.90, 17.31
245.00, 0.50, 17.20, 6.14, 1.61, 138.90, -2.90
257.00, 0.50, 15.60, 6.14, 1.62, 138.90, 8.83
269.00, 0.50, 12.50, 6.12, 1.61, 138.90, 15.33
281.00, 0.50, 16.10, 6.08, 1.62, 138.90, 31.82
293.00, 0.50, 16.20, 6.15, 1.61, 138.90, 37.28
305.00, 0.50, 10.50, 6.12, 1.62, 138.90, 44.13
317.00, 0.50, 16.80, 6.15, 1.62, 138.90, 23.11
329.00, 0.50, 12.40, 6.17, 1.62, 138.90, 7.20
341.00, 0.50, 18.30, 6.12, 1.61, 138.90, 15.91
353.00, 0.50, 16.70, 6.12, 1.62, 138.90, 9.29
365.00, 0.50, 18.70, 6.12, 1.61, 139.05, 9.06
377.00, 0.50, 16.30, 6.12, 1.62, 139.05, 6.97
389.00, 0.50, 16.50, 6.12, 1.62, 139.05, 22.30
401.00, 0.50, 18.30, 6.13, 1.61, 139.05, 33.91
413.00, 0.50, 16.70, 6.13, 1.62, 139.05, 33.91
425.00, 0.50, 15.90, 6.13, 1.61, 139.05, 21.95
437.00, 0.50, 16.80, 6.13, 1.61, 139.05, 14.05
449.00, 0.50, 15.90, 6.14, 1.61, 139.05, 17.54
461.00, 0.50, 15.90, 6.15, 1.62, 139.05, 23.23
473.00, 0.50, 16.20, 6.15, 1.61, 139.05, 41.11
485.00, 0.50, 18.40, 6.15, 1.61, 139.05, 36.70
497.00, 0.50, 12.40, 6.16, 1.62, 139.05, 25.44
509.00, 0.50, 16.70, 6.13, 1.62, 139.05, 11.03
521.00, 0.50, 16.10, 5.99, 1.62, 139.05, 7.90
533.00, 0.50, 15.80, 6.15, 1.62, 139.05, 8.71
545.00, 0.50, 12.80, 6.13, 1.61, 139.05, 18.12
557.00, 0.50, 15.50, 6.10, 1.61, 139.05, 34.03
569.00, 0.50, 17.20, 6.12, 1.62, 139.05, 15.56
582.00, 0.50, 16.00, 6.13, 1.62, 139.05, -1.74
