Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.50, 1463.20, 4.66, 2.13, 174.00, 22541.35
11.00, 0.50, 1462.80, 4.66, 2.13, 174.00, 22537.98
23.00, 0.50, 1462.30, 4.73, 2.14, 174.00, 22542.04
35.00, 0.50, 904.50, 4.75, 2.12, 174.00, 22536.47
48.00, 0.50, 905.50, 6.12, 2.14, 174.00, 22522.88
60.00, 0.50, 322.10, 5.50, 2.09, 174.00, 22514.29
72.00, 0.50, 579.80, 5.55, 2.03, 172.65, 21842.86
84.00, 0.50, 288.10, 5.83, 1.94, 169.20, 17336.35
96.00, 0.50, 85.60, 5.96, 1.83, 165.15, 9914.63
108.00, 0.50, 24.80, 6.15, 1.71, 156.75, 3013.01
120.00, 0.50, 18.70, 6.13, 1.65, 147.75, 159.12
132.00, 0.50, 93.00, 6.14, 1.62, 140.70, 15.56
144.00, 0.50, 42.80, 5.75, 1.61, 139.05, 102.56
156.00, 0.50, 17.90, 6.11, 1.61, 138.75, 53.43
168.00, 0.50, 17.20, 6.12, 1.61, 139.05, 11.61
180.00, 0.50, 16.70, 6.14, 1.61, 139.05, 13.24
192.00, 0.50, 17.20, 6.13, 1.61, 139.05, 5.23
204.00, 0.50, 17.30, 6.16, 1.62, 139.05, -4.18
216.00, 0.50, 16.20, 6.14, 1.61, 139.05, -21.14
228.00, 0.50, 17.40, 6.14, 1.61, 139.05, -21.02
240.00, 0.50, 19.20, 5.96, 1.61, 139.05, -34.84
252.00, 0.50, 17.20, 6.14, 1.61, 139.05, -5.34
264.00, 0.50, 16.20, 6.14, 1.62, 139.05, -3.83
276.00, 0.50, 13.70, 6.13, 1.61, 139.05, -13.01
288.00, 0.50, 17.60, 6.12, 1.62, 139.05, -22.18
300.00, 0.50, 13.00, 6.13, 1.61, 139.05, -29.04
312.00, 0.50, 17.20, 6.14, 1.61, 139.05, -20.33
324.00, 0.50, 17.10, 6.15, 1.61, 139.05, -12.08
336.00, 0.50, 13.60, 6.14, 1.61, 139.05, -18.82
348.00, 0.50, 16.40, 6.11, 1.62, 139.20, -10.45
360.00, 0.50, 12.40, 6.11, 1.61, 139.20, -11.03
373.00, 0.50, 17.20, 6.12, 1.61, 139.20, -13.70
385.00, 0.50, 17.10, 6.13, 1.61, 139.20, -25.09
397.00, 0.50, 16.10, 6.14, 1.61, 139.20, -20.09
409.00, 0.50, 17.10, 6.13, 1.62, 139.20, -5.11
421.00, 0.50, 14.00, 6.12, 1.62, 139.20, -5.92
433.00, 0.50, 16.10, 6.14, 1.62, 139.20, 3.37
445.00, 0.50, 16.40, 6.15, 1.61, 139.20, -4.99
457.00, 0.50, 17.00, 6.13, 1.62, 139.20, -8.13
469.00, 0.50, 13.10, 6.14, 1.61, 139.20, -9.64
481.00, 0.50, 12.30, 6.12, 1.61, 139.20, -11.27
493.00, 0.50, 15.70, 6.05, 1.59, 139.20, -7.43
505.00, 0.50, 12.20, 6.15, 1.61, 139.20, -3.25
517.00, 0.50, 15.50, 6.15, 1.62, 139.20, -5.46
529.00, 0.50, 16.40, 6.12, 1.62, 139.20, -13.94
541.00, 0.50, 12.50, 6.12, 1.61, 139.20, -21.84
553.00, 0.50, 17.20, 6.05, 1.61, 139.20, -16.72
565.00, 0.50, 17.20, 6.15, 1.62, 139.20, -10.10
577.00, 0.50, 17.10, 6.00, 1.62, 139.20, -19.98
589.00, 0.50, 17.30, 6.13, 1.61, 139.20, -16.61
