Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 2.80, 4.56, 1.70, 100.80, -57.96
8.00, 0.00, 2.70, 4.55, 1.71, 100.80, -37.40
20.00, 0.00, 471.70, 3.97, 1.78, 100.80, -27.06
32.00, 0.00, 254.30, 4.11, 1.74, 100.20, -39.95
44.00, 0.00, 231.60, 4.18, 1.63, 97.50, -52.96
56.00, 0.00, 196.50, 4.31, 1.61, 93.60, -26.71
68.00, 0.00, 178.20, 4.31, 1.52, 89.10, -31.59
80.00, 0.00, 132.30, 4.47, 1.46, 84.00, -39.72
92.00, 0.00, 130.00, 4.31, 1.38, 78.60, -43.21
104.00, 0.00, 91.50, 4.39, 1.30, 72.60, -31.94
116.00, 0.00, 81.90, 4.33, 1.22, 66.30, -30.43
128.00, 0.00, 133.40, 4.34, 1.14, 59.40, -24.97
140.00, 0.00, 130.30, 4.38, 1.07, 53.40, -15.10
152.00, 0.00, 176.80, 4.31, 1.03, 47.70, 42.51
164.00, 0.00, 343.70, 4.13, 1.02, 46.20, 616.26
176.00, 0.00, 411.50, 3.92, 1.02, 45.90, 2608.01
189.00, 0.00, 470.40, 4.53, 1.02, 45.60, 5132.17
201.00, 0.00, 605.40, 3.79, 1.04, 45.60, 6975.73
213.00, 0.00, 632.50, 3.80, 1.04, 45.60, 7639.61
225.00, 0.00, 633.00, 3.81, 1.04, 45.60, 7688.04
237.00, 0.00, 632.60, 3.81, 1.04, 45.60, 7643.79
249.00, 0.00, 633.10, 3.80, 0.96, 45.60, 7640.30
261.00, 0.00, 485.70, 4.06, 1.03, 45.60, 7601.39
273.00, 0.00, 632.40, 3.81, 1.05, 45.60, 7589.20
285.00, 0.00, 632.70, 3.81, 1.04, 45.60, 7532.29
297.00, 0.00, 632.70, 3.81, 1.03, 45.60, 7532.29
309.00, 0.00, 632.50, 3.81, 1.04, 45.60, 7533.91
321.00, 0.00, 627.60, 3.82, 1.04, 45.60, 7528.34
333.00, 0.00, 631.20, 3.97, 1.05, 45.60, 7533.33
345.00, 0.00, 632.80, 3.82, 1.04, 45.60, 7536.47
357.00, 0.00, 632.40, 3.82, 1.04, 45.60, 7514.63
369.00, 0.00, 632.40, 3.82, 1.03, 45.60, 7505.81
381.00, 0.00, 473.60, 3.82, 1.04, 45.60, 7495.01
393.00, 0.00, 606.50, 3.82, 1.03, 45.60, 7474.22
405.00, 0.00, 631.10, 3.88, 1.05, 45.60, 7475.38
417.00, 0.00, 631.50, 3.83, 1.03, 45.60, 7481.88
429.00, 0.00, 631.60, 3.82, 1.04, 45.60, 7474.10
441.00, 0.00, 631.90, 3.83, 1.04, 45.60, 7468.29
453.00, 0.00, 484.30, 3.82, 1.04, 45.60, 7467.71
465.00, 0.00, 503.70, 3.82, 1.03, 45.60, 7450.64
477.00, 0.00, 622.40, 3.86, 1.04, 45.60, 7436.35
489.00, 0.00, 630.80, 3.83, 1.04, 45.60, 7449.59
501.00, 0.00, 631.50, 3.83, 1.03, 45.60, 7441.81
514.00, 0.00, 631.30, 3.83, 1.04, 45.60, 7447.50
526.00, 0.00, 519.10, 3.83, 1.03, 45.60, 7457.72
538.00, 0.00, 475.10, 3.83, 1.02, 45.60, 7445.76
550.00, 0.00, 568.00, 3.86, 1.03, 45.60, 7434.38
562.00, 0.00, 630.90, 3.83, 1.04, 45.60, 7455.52
574.00, 0.00, 630.90, 3.83, 1.04, 45.60, 7435.42
586.00, 0.00, 631.00, 3.83, 1.05, 45.60, 7437.75
