Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 180.00, 2.90, 4.55, 1.71, 89.70, -45.53
11.00, 180.00, 2.80, 4.56, 1.71, 89.70, -45.88
23.00, 180.00, 525.00, 3.93, 1.81, 89.70, -38.10
35.00, 180.00, 409.20, 4.04, 1.79, 90.00, -19.40
47.00, 180.00, 313.00, 4.15, 1.85, 92.10, -15.80
59.00, 180.00, 263.70, 4.20, 1.91, 95.70, -34.49
71.00, 180.00, 213.10, 4.29, 1.96, 100.20, -41.58
83.00, 180.00, 213.80, 4.52, 2.03, 105.60, -33.33
95.00, 180.00, 208.00, 4.30, 2.14, 111.00, -48.20
107.00, 180.00, 178.20, 4.31, 2.22, 116.40, -34.61
119.00, 180.00, 203.50, 4.29, 2.29, 122.10, -24.39
131.00, 180.00, 187.00, 4.30, 2.37, 127.50, -27.64
143.00, 180.00, 168.60, 4.28, 2.47, 133.20, -21.02
155.00, 180.00, 187.90, 4.45, 2.54, 138.60, -17.77
167.00, 180.00, 206.50, 4.31, 2.64, 144.30, -18.58
179.00, 180.00, 223.80, 4.29, 2.76, 149.70, -9.64
191.00, 180.00, 323.40, 4.14, 2.81, 154.20, 252.96
203.00, 180.00, 497.20, 4.01, 2.88, 155.10, 1575.96
215.00, 180.00, 458.90, 3.81, 2.89, 155.40, 4092.57
227.00, 180.00, 490.40, 3.82, 2.93, 155.40, 6121.84
240.00, 180.00, 624.60, 3.93, 2.94, 155.40, 6913.82
252.00, 180.00, 649.60, 3.83, 2.88, 155.40, 6985.71
264.00, 180.00, 651.50, 3.82, 2.90, 155.40, 7029.73
276.00, 180.00, 651.20, 3.83, 2.90, 155.40, 6984.09
288.00, 180.00, 651.70, 3.83, 2.90, 155.40, 6962.72
300.00, 180.00, 580.40, 3.83, 2.87, 155.40, 6936.24
312.00, 180.00, 490.70, 4.57, 2.86, 155.40, 6914.29
324.00, 180.00, 651.30, 3.83, 2.92, 155.40, 6915.91
336.00, 180.00, 650.90, 3.83, 2.90, 155.40, 6908.71
348.00, 180.00, 650.90, 3.84, 2.90, 155.40, 6915.56
360.00, 180.00, 651.00, 3.83, 2.91, 155.40, 6893.96
372.00, 180.00, 650.90, 3.83, 2.90, 155.40, 6885.48
384.00, 180.00, 650.20, 3.84, 2.89, 155.40, 6870.04
396.00, 180.00, 649.80, 3.90, 2.88, 155.40, 6868.29
408.00, 180.00, 650.00, 3.84, 2.89, 155.40, 6862.14
420.00, 180.00, 650.60, 3.83, 2.91, 155.40, 6865.27
432.00, 180.00, 650.40, 3.85, 2.91, 155.40, 6833.68
444.00, 180.00, 493.00, 3.84, 2.90, 155.40, 6845.18
456.00, 180.00, 550.90, 3.84, 2.91, 155.40, 6824.39
468.00, 180.00, 644.20, 4.01, 2.94, 155.40, 6848.55
480.00, 180.00, 648.90, 3.85, 2.92, 155.40, 6850.52
492.00, 180.00, 650.00, 3.85, 2.89, 155.40, 6851.92
504.00, 180.00, 649.60, 3.84, 2.90, 155.40, 6813.24
516.00, 180.00, 649.00, 3.84, 2.89, 155.40, 6791.29
528.00, 180.00, 502.10, 3.85, 2.91, 155.40, 6791.75
540.00, 180.00, 490.10, 3.85, 2.86, 155.40, 6832.52
552.00, 180.00, 631.10, 3.87, 2.86, 155.40, 6809.99
564.00, 180.00, 648.70, 3.85, 2.92, 155.40, 6798.03
576.00, 180.00, 648.50, 3.85, 2.89, 155.40, 6772.94
588.00, 180.00, 648.30, 3.86, 2.90, 155.40, 6783.74
