Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 90.00, 736.50, 3.91, 3.15, 170.10, 8942.28
12.00, 90.00, 694.90, 4.02, 3.14, 170.10, 8940.30
24.00, 90.00, 310.70, 4.24, 3.07, 170.10, 8931.01
36.00, 90.00, 152.50, 4.42, 3.00, 170.10, 8765.62
48.00, 90.00, 144.60, 4.42, 2.92, 169.50, 7322.18
60.00, 90.00, 56.50, 4.48, 2.80, 167.40, 3719.86
72.00, 90.00, 79.20, 4.40, 2.69, 162.30, 681.18
84.00, 90.00, 95.90, 4.83, 2.56, 156.60, 23.23
96.00, 90.00, 110.80, 4.39, 2.49, 150.90, 19.05
108.00, 90.00, 102.00, 4.52, 2.40, 144.60, 16.96
120.00, 90.00, 174.10, 4.39, 2.29, 138.90, 22.18
132.00, 90.00, 145.60, 4.40, 2.22, 132.60, 73.52
144.00, 90.00, 126.10, 4.43, 2.13, 126.90, 63.18
156.00, 90.00, 96.80, 4.40, 2.01, 120.60, 22.42
168.00, 90.00, 47.30, 5.03, 1.96, 114.60, 18.70
180.00, 90.00, 127.00, 4.44, 1.89, 108.90, 20.44
192.00, 90.00, 3.10, 4.61, 1.77, 103.20, 4.41
204.00, 90.00, 3.00, 4.60, 1.72, 97.80, -0.58
216.00, 90.00, 3.00, 4.60, 1.69, 94.50, 2.90
229.00, 90.00, 95.90, 4.61, 1.69, 93.00, 6.97
241.00, 90.00, 182.50, 4.61, 1.69, 92.70, -4.18
253.00, 90.00, 3.10, 4.60, 1.70, 93.00, -17.54
265.00, 90.00, 2.80, 4.60, 1.70, 93.30, -2.32
277.00, 90.00, 3.10, 4.60, 1.70, 93.60, -6.04
289.00, 90.00, 2.70, 4.61, 1.70, 93.60, -1.74
301.00, 90.00, 3.00, 4.59, 1.69, 93.60, 3.48
313.00, 90.00, 3.00, 4.59, 1.70, 93.60, 6.74
325.00, 90.00, 3.00, 4.60, 1.70, 93.60, 6.97
337.00, 90.00, 3.10, 4.59, 1.70, 93.60, 3.72
349.00, 90.00, 3.00, 4.59, 1.70, 93.60, 2.09
361.00, 90.00, 3.00, 4.59, 1.70, 93.60, 10.45
373.00, 90.00, 3.00, 4.59, 1.70, 93.60, 13.36
385.00, 90.00, 3.10, 4.59, 1.71, 93.60, -2.32
397.00, 90.00, 3.10, 4.60, 1.70, 93.60, 2.44
409.00, 90.00, 2.90, 4.59, 1.70, 93.60, -2.90
421.00, 90.00, 2.90, 4.59, 1.70, 93.60, -10.92
433.00, 90.00, 3.10, 4.58, 1.69, 93.60, -12.54
445.00, 90.00, 3.00, 4.59, 1.70, 93.60, -19.05
457.00, 90.00, 3.00, 4.59, 1.70, 93.60, -7.20
469.00, 90.00, 2.80, 4.59, 1.70, 93.60, 5.34
481.00, 90.00, 3.00, 4.58, 1.70, 93.60, 11.73
493.00, 90.00, 2.60, 4.58, 1.70, 93.60, -5.69
505.00, 90.00, 2.60, 4.59, 1.71, 93.60, -9.52
517.00, 90.00, 3.20, 4.59, 1.70, 93.60, 3.60
529.00, 90.00, 3.20, 4.59, 1.70, 93.60, 18.93
541.00, 90.00, 3.00, 4.58, 1.70, 93.60, 13.01
553.00, 90.00, 2.90, 4.58, 1.71, 93.60, 3.14
565.00, 90.00, 2.90, 4.59, 1.70, 93.60, 2.44
577.00, 90.00, 3.10, 4.59, 1.71, 93.60, -2.09
589.00, 90.00, 3.10, 4.58, 1.70, 93.60, -4.07
