Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 180.00, 2.90, 4.54, 1.70, 97.50, -8.13
11.00, 180.00, 412.40, 3.84, 1.79, 97.50, -12.43
23.00, 180.00, 281.90, 4.05, 1.78, 97.50, 3.60
35.00, 180.00, 265.50, 4.14, 1.86, 99.60, -8.94
47.00, 180.00, 244.90, 4.27, 1.90, 103.20, -12.20
59.00, 180.00, 234.60, 4.26, 1.96, 107.70, -8.25
71.00, 180.00, 209.90, 4.31, 2.02, 112.80, -13.12
83.00, 180.00, 204.40, 4.30, 2.11, 118.20, -8.25
95.00, 180.00, 192.90, 4.28, 2.19, 123.60, 10.80
107.00, 180.00, 201.10, 4.29, 2.26, 129.00, 27.87
119.00, 180.00, 130.40, 4.44, 2.32, 134.40, 16.61
131.00, 180.00, 204.40, 4.33, 2.46, 140.10, 5.81
143.00, 180.00, 223.30, 4.28, 2.51, 144.90, 26.48
155.00, 180.00, 353.30, 4.13, 2.57, 148.50, 455.98
167.00, 180.00, 572.70, 3.85, 2.62, 149.70, 2272.36
179.00, 180.00, 684.30, 3.75, 2.65, 149.70, 4858.42
191.00, 180.00, 518.60, 3.76, 2.65, 150.00, 6572.13
203.00, 180.00, 649.40, 3.75, 2.68, 150.00, 7043.21
215.00, 180.00, 678.40, 3.88, 2.70, 150.00, 7078.86
227.00, 180.00, 684.20, 3.76, 2.67, 150.00, 7042.04
240.00, 180.00, 686.70, 3.76, 2.64, 150.00, 7042.04
252.00, 180.00, 687.20, 3.76, 2.65, 150.00, 7010.34
264.00, 180.00, 687.60, 3.77, 2.66, 150.00, 6987.11
276.00, 180.00, 687.90, 3.76, 2.65, 150.00, 6983.28
288.00, 180.00, 551.70, 3.77, 2.70, 150.00, 6973.40
300.00, 180.00, 521.70, 3.98, 2.66, 150.00, 6993.61
312.00, 180.00, 688.40, 3.79, 2.67, 150.00, 6988.97
324.00, 180.00, 687.60, 3.77, 2.65, 150.00, 6966.55
336.00, 180.00, 688.10, 3.78, 2.64, 150.00, 6941.23
348.00, 180.00, 687.70, 3.77, 2.66, 150.00, 6944.02
360.00, 180.00, 688.10, 3.78, 2.65, 150.00, 6916.26
372.00, 180.00, 673.50, 3.78, 2.65, 150.00, 6939.61
384.00, 180.00, 686.00, 4.55, 2.58, 150.00, 6924.39
396.00, 180.00, 685.90, 3.80, 2.64, 150.00, 6919.98
408.00, 180.00, 687.10, 3.78, 2.67, 150.00, 6905.69
420.00, 180.00, 687.40, 3.79, 2.65, 150.00, 6920.44
432.00, 180.00, 687.10, 3.79, 2.65, 150.00, 6905.58
444.00, 180.00, 564.20, 3.78, 2.66, 150.00, 6913.71
456.00, 180.00, 525.20, 3.79, 2.66, 150.00, 6910.92
468.00, 180.00, 518.00, 3.79, 2.61, 150.00, 6878.17
480.00, 180.00, 664.70, 3.82, 2.62, 150.00, 6855.40
492.00, 180.00, 686.70, 3.80, 2.67, 150.00, 6862.25
504.00, 180.00, 685.70, 3.79, 2.65, 150.00, 6896.28
516.00, 180.00, 685.90, 3.80, 2.65, 150.00, 6889.31
528.00, 180.00, 685.70, 3.79, 2.66, 150.00, 6891.75
540.00, 180.00, 685.60, 3.80, 2.60, 150.00, 6850.52
552.00, 180.00, 683.90, 3.80, 2.62, 150.00, 6864.58
564.00, 180.00, 685.10, 3.82, 2.63, 150.00, 6860.74
576.00, 180.00, 684.90, 3.80, 2.64, 150.00, 6859.23
588.00, 180.00, 685.10, 3.80, 2.66, 150.00, 6833.33
