Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 180.00, 2.80, 4.55, 0.24, -32.10, 11.85
4.00, 180.00, 2.80, 4.55, 0.25, -32.10, -4.65
15.00, 180.00, 2.70, 4.55, 0.24, -32.10, -2.44
27.00, 180.00, 735.70, 3.85, 0.36, -32.10, -2.67
39.00, 180.00, 450.60, 4.09, 0.33, -32.10, -8.71
51.00, 180.00, 318.80, 4.31, 0.37, -30.90, -18.12
63.00, 180.00, 187.10, 4.42, 0.42, -27.30, -20.91
75.00, 180.00, 133.60, 4.45, 0.52, -22.50, -9.18
87.00, 180.00, 107.60, 4.49, 0.61, -17.70, -0.12
99.00, 180.00, 71.10, 4.41, 0.72, -12.60, -18.12
111.00, 180.00, 104.40, 4.46, 0.81, -6.90, -19.51
123.00, 180.00, 60.80, 4.40, 0.88, -1.80, -2.44
135.00, 180.00, 67.00, 4.40, 0.98, 4.20, -4.18
147.00, 180.00, 122.50, 4.38, 1.05, 9.90, 1.86
159.00, 180.00, 186.10, 4.53, 1.13, 16.20, -11.03
171.00, 180.00, 156.50, 4.44, 1.23, 21.30, -0.81
183.00, 180.00, 135.90, 4.36, 1.28, 27.00, -25.67
195.00, 180.00, 72.00, 4.36, 1.36, 32.70, -33.45
207.00, 180.00, 115.20, 4.40, 1.42, 38.40, -15.80
219.00, 180.00, 154.00, 4.54, 1.54, 44.10, -4.99
231.00, 180.00, 82.60, 4.36, 1.61, 50.10, -27.87
243.00, 180.00, 130.10, 4.37, 1.70, 55.80, -30.55
255.00, 180.00, 130.70, 4.41, 1.78, 62.10, -2.21
268.00, 180.00, 91.20, 4.36, 1.87, 68.40, -6.04
280.00, 180.00, 71.50, 4.36, 1.96, 74.40, -11.50
292.00, 180.00, 65.40, 4.50, 2.02, 81.00, -28.22
304.00, 180.00, 79.90, 4.44, 2.13, 86.40, -24.04
316.00, 180.00, 141.70, 4.36, 2.22, 92.40, 8.25
328.00, 180.00, 208.60, 4.29, 2.31, 97.80, 1.86
340.00, 180.00, 220.50, 4.36, 2.38, 102.90, -2.56
352.00, 180.00, 249.80, 4.29, 2.47, 108.30, 4.76
364.00, 180.00, 68.30, 4.48, 2.55, 113.70, 2.32
376.00, 180.00, 157.30, 4.30, 2.62, 119.10, -14.63
388.00, 180.00, 198.00, 4.49, 2.78, 124.50, -16.84
400.00, 180.00, 168.70, 4.36, 2.82, 129.90, -20.44
412.00, 180.00, 142.80, 4.30, 2.97, 135.00, -20.79
424.00, 180.00, 3.10, 4.57, 3.03, 140.40, -19.40
436.00, 180.00, 3.10, 4.57, 3.09, 145.50, -14.40
448.00, 180.00, 3.00, 4.56, 3.12, 148.50, -12.08
460.00, 180.00, 3.10, 4.57, 3.15, 150.00, -14.17
472.00, 180.00, 733.60, 4.56, 3.13, 150.60, -18.23
484.00, 180.00, 493.60, 4.56, 3.25, 150.60, -12.20
496.00, 180.00, 3.10, 4.57, 3.15, 150.90, -8.94
508.00, 180.00, 2.80, 4.57, 3.16, 151.20, -4.99
520.00, 180.00, 2.90, 4.56, 3.15, 151.20, 4.30
533.00, 180.00, 2.60, 4.55, 3.15, 151.20, -4.99
545.00, 180.00, 2.60, 4.57, 3.15, 151.20, -12.66
557.00, 180.00, 2.90, 4.56, 3.15, 151.20, -16.84
569.00, 180.00, 3.20, 4.56, 3.15, 151.20, -21.14
581.00, 180.00, 3.10, 4.57, 3.15, 151.20, -14.40
