Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 180.00, 3.20, 4.54, 1.69, 97.50, -2.21
9.00, 180.00, 677.80, 3.65, 1.81, 97.50, -8.25
21.00, 180.00, 428.70, 3.88, 1.80, 97.50, -10.34
33.00, 180.00, 249.60, 4.11, 1.82, 99.00, -6.50
45.00, 180.00, 175.80, 4.19, 1.86, 102.60, -1.97
58.00, 180.00, 145.10, 4.42, 1.96, 106.80, -0.12
70.00, 180.00, 149.90, 4.32, 2.01, 111.90, -9.99
82.00, 180.00, 195.70, 4.26, 2.09, 117.30, -2.79
94.00, 180.00, 173.30, 4.26, 2.18, 122.70, -3.48
106.00, 180.00, 207.30, 4.24, 2.26, 128.10, -5.46
118.00, 180.00, 173.90, 4.26, 2.31, 132.90, 5.46
130.00, 180.00, 189.20, 4.26, 2.44, 138.60, 11.85
142.00, 180.00, 186.10, 4.27, 2.49, 144.00, 4.76
154.00, 180.00, 165.40, 4.58, 2.58, 149.70, 4.53
166.00, 180.00, 204.20, 4.34, 2.70, 154.80, 20.44
178.00, 180.00, 191.80, 4.31, 2.83, 160.50, 16.14
190.00, 180.00, 226.00, 4.25, 2.90, 165.60, 17.19
202.00, 180.00, 256.10, 4.16, 2.98, 170.70, 81.53
214.00, 180.00, 402.80, 3.99, 3.05, 172.80, 660.28
226.00, 180.00, 571.30, 3.78, 3.08, 173.70, 2706.62
238.00, 180.00, 707.30, 3.63, 3.14, 173.70, 5459.47
250.00, 180.00, 678.70, 3.61, 3.20, 173.70, 7339.61
262.00, 180.00, 726.20, 4.10, 3.08, 174.00, 7978.51
274.00, 180.00, 724.20, 3.68, 3.17, 174.00, 8071.66
286.00, 180.00, 725.90, 3.63, 3.16, 174.00, 8044.72
298.00, 180.00, 726.60, 3.63, 3.13, 174.00, 8014.29
310.00, 180.00, 725.90, 3.63, 3.14, 174.00, 8009.64
322.00, 180.00, 727.10, 3.63, 3.15, 174.00, 7995.94
334.00, 180.00, 727.30, 3.64, 3.15, 174.00, 7979.79
346.00, 180.00, 727.60, 3.64, 3.15, 174.00, 7961.56
358.00, 180.00, 727.20, 3.64, 3.15, 174.00, 7950.64
370.00, 180.00, 715.10, 3.64, 3.21, 174.00, 7941.23
382.00, 180.00, 726.50, 4.46, 3.11, 174.00, 7917.89
394.00, 180.00, 726.10, 3.74, 3.17, 174.00, 7900.70
406.00, 180.00, 726.50, 3.65, 3.15, 174.00, 7925.78
418.00, 180.00, 726.60, 3.66, 3.14, 174.00, 7910.34
430.00, 180.00, 726.10, 3.64, 3.15, 174.00, 7899.65
442.00, 180.00, 726.70, 3.64, 3.15, 174.00, 7893.96
454.00, 180.00, 726.50, 3.65, 3.15, 174.00, 7907.32
466.00, 180.00, 726.30, 3.65, 3.15, 174.00, 7904.53
478.00, 180.00, 725.90, 3.65, 3.15, 174.00, 7891.99
490.00, 180.00, 725.80, 3.65, 3.16, 174.00, 7865.85
502.00, 180.00, 725.00, 3.65, 3.15, 174.00, 7859.70
514.00, 180.00, 724.20, 3.82, 3.12, 174.00, 7863.07
526.00, 180.00, 723.90, 3.67, 3.13, 174.00, 7859.93
538.00, 180.00, 723.90, 3.66, 3.14, 174.00, 7850.76
550.00, 180.00, 724.00, 3.66, 3.15, 174.00, 7832.99
562.00, 180.00, 724.40, 3.65, 3.15, 174.00, 7824.97
574.00, 180.00, 724.50, 3.66, 3.15, 174.00, 7829.27
587.00, 180.00, 724.10, 3.65, 3.15, 174.00, 7831.13
