Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 3.10, 4.57, 1.71, 67.80, -29.27
11.00, 0.00, 233.90, 4.14, 1.80, 67.80, -35.89
23.00, 0.00, 463.00, 4.08, 1.77, 67.80, -17.65
35.00, 0.00, 334.30, 4.17, 1.70, 66.60, -12.89
47.00, 0.00, 269.70, 4.29, 1.65, 63.90, -17.07
59.00, 0.00, 192.60, 4.37, 1.56, 59.70, -11.03
71.00, 0.00, 151.00, 4.35, 1.46, 54.90, -17.54
83.00, 0.00, 138.10, 4.45, 1.38, 49.20, -31.48
96.00, 0.00, 102.80, 4.40, 1.31, 42.90, -29.50
108.00, 0.00, 140.10, 4.42, 1.24, 37.20, -28.69
120.00, 0.00, 145.50, 4.39, 1.14, 31.20, -18.58
132.00, 0.00, 53.20, 4.39, 1.07, 25.20, -8.83
144.00, 0.00, 118.10, 4.49, 0.98, 19.20, 1.74
156.00, 0.00, 184.10, 4.43, 0.91, 13.50, 13.82
168.00, 0.00, 163.00, 4.34, 0.84, 8.10, 34.96
180.00, 0.00, 241.60, 4.29, 0.80, 4.20, 203.60
192.00, 0.00, 384.60, 4.17, 0.79, 4.20, 1490.71
204.00, 0.00, 411.70, 4.10, 0.79, 4.20, 4322.42
216.00, 0.00, 494.80, 3.93, 0.81, 4.20, 6490.94
228.00, 0.00, 642.80, 4.01, 0.82, 4.20, 7298.37
240.00, 0.00, 663.40, 3.94, 0.82, 4.20, 7451.22
252.00, 0.00, 666.00, 3.93, 0.82, 4.20, 7489.08
264.00, 0.00, 666.20, 3.93, 0.82, 4.20, 7436.00
276.00, 0.00, 666.40, 3.94, 0.82, 4.20, 7427.64
288.00, 0.00, 510.30, 3.94, 0.81, 4.20, 7380.84
300.00, 0.00, 493.50, 4.04, 0.83, 4.20, 7363.88
312.00, 0.00, 665.90, 3.94, 0.81, 4.20, 7371.20
324.00, 0.00, 666.20, 3.94, 0.82, 4.20, 7347.97
336.00, 0.00, 666.80, 3.94, 0.82, 4.20, 7326.60
348.00, 0.00, 666.20, 3.95, 0.82, 4.20, 7322.76
360.00, 0.00, 666.30, 3.95, 0.81, 4.20, 7332.99
372.00, 0.00, 666.20, 4.08, 0.83, 4.20, 7308.36
384.00, 0.00, 666.20, 3.94, 0.81, 4.20, 7292.80
397.00, 0.00, 665.70, 3.95, 0.81, 4.20, 7278.17
409.00, 0.00, 665.90, 3.95, 0.82, 4.20, 7280.84
421.00, 0.00, 665.60, 3.95, 0.82, 4.20, 7276.42
433.00, 0.00, 653.90, 3.94, 0.81, 4.20, 7267.25
445.00, 0.00, 663.40, 4.04, 0.82, 4.20, 7263.07
457.00, 0.00, 665.50, 3.95, 0.82, 4.20, 7263.07
469.00, 0.00, 665.10, 3.95, 0.82, 4.20, 7245.99
481.00, 0.00, 664.60, 3.95, 0.82, 4.20, 7232.52
493.00, 0.00, 500.10, 3.95, 0.82, 4.20, 7236.59
505.00, 0.00, 598.70, 3.95, 0.81, 4.20, 7248.90
517.00, 0.00, 655.80, 4.06, 0.82, 4.20, 7237.40
529.00, 0.00, 662.70, 3.96, 0.82, 4.20, 7229.27
541.00, 0.00, 664.30, 3.96, 0.82, 4.20, 7215.68
553.00, 0.00, 663.90, 3.96, 0.83, 4.20, 7210.34
565.00, 0.00, 543.20, 3.96, 0.82, 4.20, 7205.23
577.00, 0.00, 496.40, 3.96, 0.81, 4.20, 7204.99
589.00, 0.00, 618.30, 4.04, 0.83, 4.20, 7206.39
