Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 2.40, 4.56, 1.71, 102.90, 6.50
12.00, 0.00, 3.10, 4.56, 1.71, 102.90, -8.59
24.00, 0.00, 541.20, 3.97, 1.79, 102.90, 2.32
36.00, 0.00, 425.00, 4.07, 1.78, 102.90, 9.76
48.00, 0.00, 311.20, 4.20, 1.71, 101.40, 25.67
60.00, 0.00, 192.10, 4.36, 1.63, 98.10, 16.14
72.00, 0.00, 184.80, 4.30, 1.58, 93.90, 0.70
84.00, 0.00, 145.00, 4.35, 1.50, 89.40, -10.69
96.00, 0.00, 131.30, 4.36, 1.42, 84.30, 1.74
108.00, 0.00, 130.90, 4.38, 1.35, 78.90, 8.13
120.00, 0.00, 131.30, 4.35, 1.27, 72.90, 1.05
132.00, 0.00, 148.10, 4.42, 1.20, 66.30, 8.94
144.00, 0.00, 168.10, 4.34, 1.10, 59.40, 7.32
156.00, 0.00, 163.70, 4.47, 1.05, 53.10, 2.32
168.00, 0.00, 140.00, 4.35, 0.96, 47.10, 12.78
180.00, 0.00, 135.80, 4.36, 0.87, 41.70, 36.35
192.00, 0.00, 182.50, 4.32, 0.83, 36.30, 108.01
204.00, 0.00, 339.00, 4.19, 0.82, 35.40, 806.85
216.00, 0.00, 403.50, 4.06, 0.77, 35.40, 2786.88
228.00, 0.00, 632.70, 4.49, 0.83, 35.10, 5029.27
240.00, 0.00, 646.20, 3.89, 0.85, 35.10, 6485.13
252.00, 0.00, 647.90, 3.90, 0.84, 35.10, 7063.07
265.00, 0.00, 648.40, 3.89, 0.84, 35.10, 7107.67
277.00, 0.00, 510.20, 3.90, 0.84, 35.10, 7082.23
289.00, 0.00, 484.80, 3.89, 0.77, 35.10, 7055.63
301.00, 0.00, 615.50, 4.53, 0.85, 35.10, 7006.16
313.00, 0.00, 648.80, 3.92, 0.86, 35.10, 6984.32
325.00, 0.00, 648.30, 3.91, 0.84, 35.10, 6966.43
337.00, 0.00, 648.90, 3.90, 0.85, 35.10, 6964.00
349.00, 0.00, 648.60, 3.90, 0.85, 35.10, 6959.23
361.00, 0.00, 441.50, 3.90, 0.79, 35.10, 6965.39
373.00, 0.00, 521.90, 4.05, 0.86, 35.10, 6907.32
385.00, 0.00, 641.30, 3.92, 0.84, 35.10, 6932.06
397.00, 0.00, 648.50, 3.91, 0.85, 35.10, 6919.51
409.00, 0.00, 647.90, 3.91, 0.84, 35.10, 6910.80
421.00, 0.00, 647.50, 3.91, 0.84, 35.10, 6878.86
433.00, 0.00, 525.40, 3.92, 0.83, 35.10, 6897.79
445.00, 0.00, 485.50, 4.01, 0.86, 35.10, 6871.66
457.00, 0.00, 647.40, 3.91, 0.85, 35.10, 6861.09
469.00, 0.00, 647.50, 3.91, 0.85, 35.10, 6839.84
481.00, 0.00, 647.10, 3.91, 0.84, 35.10, 6867.83
493.00, 0.00, 646.80, 3.91, 0.85, 35.10, 6864.81
505.00, 0.00, 646.80, 3.92, 0.84, 35.10, 6862.25
517.00, 0.00, 647.20, 3.96, 0.84, 35.10, 6853.19
529.00, 0.00, 646.50, 3.93, 0.85, 35.10, 6836.00
541.00, 0.00, 646.10, 3.92, 0.85, 35.10, 6845.41
553.00, 0.00, 645.90, 3.92, 0.85, 35.10, 6848.78
565.00, 0.00, 645.70, 3.91, 0.85, 35.10, 6850.64
577.00, 0.00, 642.90, 3.92, 0.84, 35.10, 6839.84
589.00, 0.00, 644.70, 3.95, 0.85, 35.10, 6818.58
