Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 180.00, 3.00, 4.56, 1.70, 90.60, -32.29
5.00, 180.00, 2.90, 4.56, 1.70, 90.60, -15.68
17.00, 180.00, 545.00, 3.85, 1.80, 90.60, -6.39
29.00, 180.00, 415.10, 4.02, 1.80, 90.60, -11.50
41.00, 180.00, 327.20, 4.11, 1.84, 92.40, -19.74
53.00, 180.00, 274.60, 4.17, 1.89, 95.70, -26.95
65.00, 180.00, 237.70, 4.23, 1.96, 99.90, -35.89
77.00, 180.00, 213.80, 4.28, 1.97, 105.00, -26.48
89.00, 180.00, 210.00, 4.30, 2.11, 110.40, -1.63
101.00, 180.00, 185.90, 4.28, 2.18, 115.80, -18.00
113.00, 180.00, 200.80, 4.28, 2.26, 121.20, -31.01
125.00, 180.00, 155.80, 4.29, 2.35, 126.60, -22.30
137.00, 180.00, 203.30, 4.27, 2.44, 132.60, -18.12
149.00, 180.00, 123.40, 4.31, 2.51, 137.70, -6.85
161.00, 180.00, 177.60, 4.29, 2.63, 143.70, 16.26
173.00, 180.00, 200.60, 4.28, 2.68, 148.80, 33.80
185.00, 180.00, 265.60, 4.20, 2.79, 154.20, 134.73
197.00, 180.00, 454.60, 4.01, 2.83, 155.70, 929.73
209.00, 180.00, 611.50, 3.85, 2.90, 156.60, 3209.52
221.00, 180.00, 651.50, 3.76, 2.89, 156.60, 5589.90
233.00, 180.00, 466.10, 3.77, 2.88, 156.60, 6835.66
245.00, 180.00, 493.50, 4.09, 2.86, 156.60, 7008.59
257.00, 180.00, 609.10, 3.78, 2.90, 156.60, 7068.76
269.00, 180.00, 652.80, 3.76, 2.89, 156.60, 7031.94
281.00, 180.00, 652.90, 3.77, 2.89, 156.60, 7038.79
293.00, 180.00, 652.90, 3.78, 2.90, 156.60, 6996.05
305.00, 180.00, 653.10, 3.77, 2.90, 156.60, 6987.92
317.00, 180.00, 653.00, 3.78, 2.93, 156.60, 6969.22
329.00, 180.00, 652.80, 3.85, 2.92, 156.60, 6987.69
341.00, 180.00, 652.90, 3.79, 2.89, 156.60, 6984.32
354.00, 180.00, 653.20, 3.79, 2.89, 156.60, 6955.28
366.00, 180.00, 652.80, 3.79, 2.90, 156.60, 6952.38
378.00, 180.00, 653.20, 3.79, 2.89, 156.60, 6927.76
390.00, 180.00, 529.40, 3.79, 2.89, 156.60, 6915.45
402.00, 180.00, 637.00, 3.79, 2.88, 156.60, 6919.16
414.00, 180.00, 649.00, 3.85, 2.87, 156.60, 6934.38
426.00, 180.00, 651.80, 3.79, 2.89, 156.60, 6919.63
438.00, 180.00, 653.10, 3.80, 2.90, 156.60, 6896.86
450.00, 180.00, 652.80, 3.80, 2.89, 156.60, 6891.64
462.00, 180.00, 615.60, 3.80, 2.90, 156.60, 6903.60
474.00, 180.00, 454.80, 3.80, 2.90, 156.60, 6901.05
486.00, 180.00, 492.10, 4.41, 2.84, 156.60, 6893.84
498.00, 180.00, 625.20, 3.81, 2.90, 156.60, 6879.33
510.00, 180.00, 652.50, 3.80, 2.89, 156.60, 6859.47
522.00, 180.00, 652.10, 3.81, 2.89, 156.60, 6861.79
534.00, 180.00, 652.00, 3.80, 2.90, 156.60, 6891.06
546.00, 180.00, 652.20, 3.81, 2.89, 156.60, 6879.44
558.00, 180.00, 651.80, 3.81, 2.93, 156.60, 6897.56
570.00, 180.00, 651.70, 3.89, 2.92, 156.60, 6876.54
582.00, 180.00, 651.10, 3.82, 2.88, 156.60, 6869.45
