Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 2.80, 4.56, 1.71, 100.20, 1.39
7.00, 0.00, 2.90, 4.55, 1.71, 100.20, 1.74
20.00, 0.00, 527.10, 3.99, 1.81, 100.20, -4.53
32.00, 0.00, 415.00, 4.08, 1.75, 99.90, -4.99
44.00, 0.00, 320.60, 4.20, 1.70, 97.80, 4.07
56.00, 0.00, 220.30, 4.25, 1.62, 94.20, 6.85
68.00, 0.00, 119.40, 4.31, 1.53, 90.00, 9.18
80.00, 0.00, 67.40, 4.51, 1.49, 84.90, 10.69
92.00, 0.00, 149.60, 4.32, 1.41, 78.90, 21.25
104.00, 0.00, 142.20, 4.49, 1.32, 72.60, 21.14
116.00, 0.00, 140.10, 4.40, 1.24, 66.60, 26.48
128.00, 0.00, 194.00, 4.31, 1.19, 60.60, 68.18
140.00, 0.00, 270.20, 4.23, 1.13, 56.40, 284.79
152.00, 0.00, 403.60, 4.14, 1.17, 56.10, 1656.91
164.00, 0.00, 547.60, 3.98, 1.17, 55.80, 4412.20
176.00, 0.00, 641.80, 3.88, 1.18, 55.50, 6974.91
188.00, 0.00, 642.50, 3.89, 1.19, 55.50, 8544.37
200.00, 0.00, 614.20, 3.89, 1.19, 55.50, 9033.10
212.00, 0.00, 638.20, 4.39, 1.15, 55.50, 9032.29
224.00, 0.00, 641.70, 3.89, 1.19, 55.50, 8982.58
236.00, 0.00, 641.70, 3.89, 1.18, 55.50, 8971.08
248.00, 0.00, 642.60, 3.89, 1.19, 55.50, 8913.71
260.00, 0.00, 491.50, 3.89, 1.18, 55.50, 8935.08
272.00, 0.00, 449.10, 3.90, 1.11, 55.50, 8892.33
284.00, 0.00, 632.60, 4.56, 1.16, 55.50, 8895.01
296.00, 0.00, 641.60, 3.90, 1.20, 55.50, 8876.77
308.00, 0.00, 643.10, 3.90, 1.18, 55.50, 8860.63
320.00, 0.00, 642.70, 3.90, 1.18, 55.50, 8840.65
332.00, 0.00, 516.80, 3.90, 1.19, 55.50, 8832.29
344.00, 0.00, 481.00, 3.89, 1.11, 55.50, 8805.23
356.00, 0.00, 593.80, 4.27, 1.17, 55.50, 8819.40
368.00, 0.00, 639.00, 3.91, 1.19, 55.50, 8826.95
380.00, 0.00, 642.60, 3.90, 1.18, 55.50, 8807.32
392.00, 0.00, 642.30, 3.90, 1.19, 55.50, 8777.00
404.00, 0.00, 641.90, 3.90, 1.18, 55.50, 8773.98
416.00, 0.00, 500.20, 3.91, 1.16, 55.50, 8777.35
428.00, 0.00, 477.00, 4.05, 1.20, 55.50, 8770.50
440.00, 0.00, 641.40, 3.91, 1.19, 55.50, 8790.83
452.00, 0.00, 641.40, 3.91, 1.19, 55.50, 8782.11
465.00, 0.00, 641.60, 3.91, 1.18, 55.50, 8731.36
477.00, 0.00, 641.00, 3.91, 1.18, 55.50, 8723.35
489.00, 0.00, 584.80, 3.91, 1.19, 55.50, 8750.06
501.00, 0.00, 641.90, 4.03, 1.20, 55.50, 8748.32
513.00, 0.00, 641.30, 3.92, 1.17, 55.50, 8733.91
525.00, 0.00, 640.90, 3.91, 1.19, 55.50, 8743.67
537.00, 0.00, 640.50, 3.91, 1.18, 55.50, 8724.62
549.00, 0.00, 640.80, 3.92, 1.18, 55.50, 8721.83
561.00, 0.00, 638.20, 3.92, 1.18, 55.50, 8712.54
573.00, 0.00, 639.30, 4.02, 1.19, 55.50, 8713.71
585.00, 0.00, 639.80, 3.92, 1.17, 55.50, 8711.96
