Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 2.70, 4.55, 1.71, 101.70, -56.91
6.00, 0.00, 3.00, 4.55, 1.71, 101.70, -53.31
18.00, 0.00, 532.30, 3.94, 1.79, 101.70, -67.48
30.00, 0.00, 218.80, 4.10, 1.75, 101.10, -67.02
42.00, 0.00, 285.40, 4.17, 1.66, 98.70, -50.64
54.00, 0.00, 228.70, 4.36, 1.63, 95.10, -49.36
66.00, 0.00, 166.90, 4.36, 1.53, 90.90, -56.79
78.00, 0.00, 139.50, 4.45, 1.46, 85.80, -49.25
90.00, 0.00, 149.50, 4.34, 1.40, 80.40, -48.66
102.00, 0.00, 111.20, 4.42, 1.32, 74.70, -61.09
114.00, 0.00, 74.50, 4.39, 1.23, 68.40, -60.86
126.00, 0.00, 127.00, 4.43, 1.15, 61.50, -44.02
138.00, 0.00, 165.80, 4.35, 1.08, 55.20, -26.95
151.00, 0.00, 185.10, 4.35, 1.00, 49.50, 1.63
163.00, 0.00, 253.30, 4.21, 0.98, 46.50, 340.88
175.00, 0.00, 451.60, 4.00, 1.00, 46.50, 2008.01
187.00, 0.00, 496.10, 3.83, 1.02, 46.20, 4568.99
199.00, 0.00, 648.80, 3.85, 1.03, 45.90, 6754.12
211.00, 0.00, 648.00, 3.83, 1.04, 45.90, 7700.00
223.00, 0.00, 650.40, 3.84, 1.04, 45.90, 7844.14
235.00, 0.00, 649.80, 3.83, 1.04, 45.90, 7789.90
247.00, 0.00, 649.00, 3.84, 1.04, 45.90, 7795.35
259.00, 0.00, 644.70, 4.17, 1.01, 45.90, 7753.19
271.00, 0.00, 649.20, 3.86, 1.03, 45.90, 7735.31
283.00, 0.00, 648.80, 3.84, 1.03, 45.90, 7709.64
295.00, 0.00, 647.60, 3.84, 1.04, 45.90, 7708.01
307.00, 0.00, 645.90, 3.85, 1.04, 45.90, 7709.87
319.00, 0.00, 604.20, 3.85, 1.03, 45.90, 7691.29
331.00, 0.00, 639.40, 4.50, 1.01, 45.90, 7675.96
343.00, 0.00, 644.10, 3.86, 1.05, 45.90, 7639.84
355.00, 0.00, 646.20, 3.86, 1.03, 45.90, 7632.29
367.00, 0.00, 648.60, 3.85, 1.04, 45.90, 7624.62
379.00, 0.00, 510.40, 3.85, 1.03, 45.90, 7671.08
391.00, 0.00, 427.70, 3.85, 0.97, 45.90, 7631.13
403.00, 0.00, 623.60, 4.56, 1.01, 45.90, 7641.00
415.00, 0.00, 642.00, 3.86, 1.04, 45.90, 7632.52
427.00, 0.00, 645.60, 3.86, 1.03, 45.90, 7638.79
439.00, 0.00, 646.40, 3.86, 1.04, 45.90, 7624.04
451.00, 0.00, 647.60, 3.86, 1.04, 45.90, 7631.82
463.00, 0.00, 497.00, 3.85, 0.96, 45.90, 7601.39
475.00, 0.00, 482.10, 4.59, 1.02, 45.90, 7597.79
487.00, 0.00, 634.40, 3.85, 1.04, 45.90, 7584.44
499.00, 0.00, 647.40, 3.86, 1.02, 45.90, 7604.07
512.00, 0.00, 646.90, 3.86, 1.04, 45.90, 7610.57
524.00, 0.00, 646.70, 3.86, 1.03, 45.90, 7595.94
536.00, 0.00, 627.70, 3.88, 0.96, 45.90, 7564.69
548.00, 0.00, 486.40, 4.07, 1.04, 45.90, 7545.30
560.00, 0.00, 640.80, 3.87, 1.04, 45.90, 7554.12
572.00, 0.00, 639.10, 3.88, 1.03, 45.90, 7573.40
584.00, 0.00, 638.40, 3.88, 1.03, 45.90, 7559.47
