Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 2.70, 4.57, 1.71, 68.70, -18.70
12.00, 0.00, 2.70, 4.57, 1.71, 68.70, -22.65
24.00, 0.00, 530.60, 4.05, 1.80, 68.70, -7.32
36.00, 0.00, 406.70, 4.16, 1.74, 68.70, -1.28
48.00, 0.00, 305.30, 4.24, 1.67, 66.60, -5.46
60.00, 0.00, 238.20, 4.30, 1.63, 63.00, -9.76
72.00, 0.00, 204.20, 4.32, 1.54, 58.50, -30.66
84.00, 0.00, 155.70, 4.36, 1.45, 53.40, -30.78
97.00, 0.00, 111.70, 4.36, 1.39, 47.10, -11.61
109.00, 0.00, 129.20, 4.43, 1.30, 41.40, 3.95
121.00, 0.00, 116.60, 4.38, 1.21, 35.70, 11.96
133.00, 0.00, 160.80, 4.32, 1.14, 30.00, 54.01
145.00, 0.00, 290.20, 4.38, 1.12, 27.00, 445.41
157.00, 0.00, 400.20, 4.17, 1.14, 26.70, 2421.60
169.00, 0.00, 583.20, 4.02, 1.15, 26.40, 5638.10
181.00, 0.00, 655.20, 3.95, 1.17, 26.40, 8155.87
193.00, 0.00, 497.50, 3.96, 1.16, 26.40, 9259.23
205.00, 0.00, 514.00, 3.96, 1.15, 26.40, 9416.84
217.00, 0.00, 647.20, 3.98, 1.15, 26.40, 9358.19
229.00, 0.00, 652.20, 3.96, 1.17, 26.40, 9314.05
241.00, 0.00, 653.80, 3.97, 1.16, 26.40, 9296.75
253.00, 0.00, 654.20, 3.97, 1.17, 26.40, 9268.41
265.00, 0.00, 510.80, 3.96, 1.12, 26.40, 9235.31
277.00, 0.00, 427.80, 4.61, 1.16, 26.40, 9201.86
289.00, 0.00, 637.30, 3.97, 1.17, 26.40, 9221.60
301.00, 0.00, 652.10, 3.98, 1.16, 26.40, 9198.26
313.00, 0.00, 652.60, 3.97, 1.17, 26.40, 9179.67
326.00, 0.00, 652.20, 3.97, 1.16, 26.40, 9171.66
338.00, 0.00, 503.90, 3.97, 1.15, 26.40, 9160.63
350.00, 0.00, 484.70, 4.02, 1.16, 26.40, 9136.70
362.00, 0.00, 650.10, 3.98, 1.16, 26.40, 9129.73
374.00, 0.00, 650.40, 3.98, 1.16, 26.40, 9127.76
386.00, 0.00, 650.00, 3.98, 1.16, 26.40, 9117.89
398.00, 0.00, 649.90, 3.98, 1.16, 26.40, 9116.96
410.00, 0.00, 648.00, 3.99, 1.13, 26.40, 9112.08
422.00, 0.00, 648.80, 4.00, 1.16, 26.40, 9083.74
434.00, 0.00, 649.30, 3.98, 1.16, 26.40, 9089.32
446.00, 0.00, 648.70, 3.98, 1.16, 26.40, 9082.81
458.00, 0.00, 648.80, 3.99, 1.16, 26.40, 9073.87
470.00, 0.00, 630.00, 3.99, 1.15, 26.40, 9054.82
482.00, 0.00, 646.30, 4.12, 1.17, 26.40, 9067.83
494.00, 0.00, 648.50, 3.99, 1.15, 26.40, 9064.23
506.00, 0.00, 648.10, 3.99, 1.15, 26.40, 9066.55
518.00, 0.00, 648.00, 3.99, 1.16, 26.40, 9077.82
530.00, 0.00, 483.40, 3.98, 1.16, 26.40, 9064.46
542.00, 0.00, 606.40, 3.99, 1.15, 26.40, 9060.05
555.00, 0.00, 645.40, 4.01, 1.14, 26.40, 9047.04
567.00, 0.00, 646.70, 3.99, 1.17, 26.40, 9031.13
579.00, 0.00, 646.20, 3.99, 1.16, 26.40, 9028.11
591.00, 0.00, 634.30, 3.98, 1.15, 26.40, 9029.38
