Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 2.80, 4.56, 1.71, 67.50, -11.61
8.00, 0.00, 3.00, 4.56, 1.71, 67.50, -21.14
20.00, 0.00, 2.70, 4.56, 1.72, 67.50, -28.57
32.00, 0.00, 486.70, 4.05, 1.77, 67.50, -21.14
44.00, 0.00, 365.40, 4.15, 1.70, 66.90, -10.92
56.00, 0.00, 280.90, 4.27, 1.65, 63.90, -8.13
68.00, 0.00, 188.70, 4.33, 1.54, 60.30, -8.71
80.00, 0.00, 97.30, 4.57, 1.49, 55.50, -8.59
92.00, 0.00, 172.30, 4.36, 1.42, 50.10, -10.69
105.00, 0.00, 142.20, 4.47, 1.34, 44.10, -20.44
117.00, 0.00, 96.60, 4.51, 1.24, 38.40, -13.70
129.00, 0.00, 135.80, 4.40, 1.18, 32.40, -8.13
141.00, 0.00, 142.60, 4.38, 1.07, 26.10, -4.41
153.00, 0.00, 114.50, 4.50, 1.00, 20.40, -8.01
165.00, 0.00, 151.90, 4.36, 0.94, 14.70, 4.07
177.00, 0.00, 150.40, 4.48, 0.86, 9.00, 22.88
189.00, 0.00, 206.90, 4.33, 0.81, 4.20, 136.12
201.00, 0.00, 312.90, 4.28, 0.78, 4.20, 1102.09
213.00, 0.00, 488.50, 4.05, 0.79, 3.90, 3795.47
225.00, 0.00, 661.50, 4.06, 0.83, 3.90, 6397.79
237.00, 0.00, 664.70, 3.94, 0.80, 3.90, 7617.31
249.00, 0.00, 666.60, 3.93, 0.82, 3.90, 7857.49
261.00, 0.00, 666.70, 3.93, 0.81, 3.90, 7855.52
273.00, 0.00, 517.10, 3.94, 0.82, 3.90, 7828.69
285.00, 0.00, 493.60, 3.93, 0.81, 3.90, 7792.80
297.00, 0.00, 644.90, 4.01, 0.83, 3.90, 7755.05
309.00, 0.00, 662.90, 3.93, 0.81, 3.90, 7723.93
321.00, 0.00, 664.60, 3.94, 0.81, 3.90, 7715.33
333.00, 0.00, 664.30, 3.94, 0.81, 3.90, 7717.07
345.00, 0.00, 663.60, 3.94, 0.81, 3.90, 7688.50
357.00, 0.00, 504.70, 3.94, 0.81, 3.90, 7686.41
369.00, 0.00, 491.80, 4.01, 0.82, 3.90, 7667.94
382.00, 0.00, 662.80, 3.95, 0.81, 3.90, 7647.50
394.00, 0.00, 663.00, 3.95, 0.82, 3.90, 7648.08
406.00, 0.00, 662.80, 3.95, 0.81, 3.90, 7648.32
418.00, 0.00, 663.00, 3.95, 0.81, 3.90, 7654.12
430.00, 0.00, 618.20, 3.96, 0.81, 3.90, 7626.37
442.00, 0.00, 662.10, 4.02, 0.81, 3.90, 7622.07
454.00, 0.00, 662.50, 3.95, 0.82, 3.90, 7606.16
466.00, 0.00, 661.80, 3.95, 0.81, 3.90, 7613.12
478.00, 0.00, 661.80, 3.96, 0.82, 3.90, 7609.76
490.00, 0.00, 661.70, 3.95, 0.82, 3.90, 7592.45
502.00, 0.00, 654.20, 3.96, 0.79, 3.90, 7598.03
514.00, 0.00, 660.00, 3.99, 0.81, 3.90, 7590.82
526.00, 0.00, 661.00, 3.95, 0.81, 3.90, 7570.96
538.00, 0.00, 661.30, 3.95, 0.82, 3.90, 7560.51
550.00, 0.00, 660.80, 3.96, 0.82, 3.90, 7552.50
562.00, 0.00, 434.70, 3.96, 0.81, 3.90, 7555.28
574.00, 0.00, 634.50, 3.96, 0.80, 3.90, 7582.69
586.00, 0.00, 657.50, 3.99, 0.81, 3.90, 7573.64
