Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.00, 1697.40, 6.46, 2.28, 184.20, 20047.97
10.00, 0.00, 1696.90, 6.46, 2.28, 184.20, 20035.08
22.00, 0.00, 257.10, 8.10, 2.25, 184.20, 20029.62
34.00, 0.00, 489.20, 6.76, 2.22, 183.90, 19884.21
46.00, 0.00, 645.90, 7.46, 2.17, 182.70, 18005.81
58.00, 0.00, 392.00, 7.74, 2.05, 180.45, 13206.04
70.00, 0.00, 256.60, 7.87, 1.88, 175.35, 6017.77
82.00, 0.00, 206.70, 7.89, 1.70, 158.25, 832.98
94.00, 0.00, 164.60, 7.99, 1.49, 142.65, 22.76
106.00, 0.00, 145.60, 7.94, 1.29, 124.50, -57.49
118.00, 0.00, 146.30, 7.97, 1.12, 106.65, 83.04
130.00, 0.00, 394.80, 7.76, 0.98, 91.35, 231.01
142.00, 0.00, 269.50, 7.85, 0.81, 78.30, 769.11
154.00, 0.00, 196.80, 7.94, 0.67, 56.70, 1257.61
166.00, 0.00, 103.20, 7.97, 0.52, 40.20, 308.25
178.00, 0.00, 372.00, 8.11, 0.45, 31.35, 734.73
190.00, 0.00, 806.60, 8.08, 0.45, 29.25, 6344.13
202.00, 0.00, 1059.90, 6.60, 0.43, 28.80, 13714.63
214.00, 0.00, 943.80, 6.52, 0.45, 29.40, 14850.06
226.00, 0.00, 927.50, 7.14, 0.45, 29.55, 14532.17
239.00, 0.00, 1022.90, 8.19, 0.45, 29.40, 14371.43
251.00, 0.00, 926.80, 8.07, 0.45, 29.40, 13656.45
263.00, 0.00, 917.50, 7.05, 0.46, 29.55, 13981.07
275.00, 0.00, 926.20, 6.59, 0.42, 29.40, 14035.31
287.00, 0.00, 945.90, 6.54, 0.43, 29.40, 13693.50
299.00, 0.00, 925.10, 8.12, 0.45, 29.40, 13963.53
311.00, 0.00, 1010.70, 8.10, 0.45, 29.40, 13828.34
323.00, 0.00, 936.70, 7.45, 0.46, 29.40, 13781.88
335.00, 0.00, 938.90, 6.60, 0.43, 29.40, 13865.04
347.00, 0.00, 946.50, 6.51, 0.43, 29.40, 13733.68
359.00, 0.00, 948.40, 8.19, 0.45, 29.40, 13823.00
371.00, 0.00, 934.80, 8.11, 0.45, 29.40, 13739.61
383.00, 0.00, 941.80, 6.68, 0.43, 29.40, 13738.44
395.00, 0.00, 935.00, 7.55, 0.45, 29.40, 13759.12
407.00, 0.00, 938.10, 8.20, 0.45, 29.40, 13729.15
419.00, 0.00, 932.70, 7.63, 0.46, 29.40, 13750.41
431.00, 0.00, 909.80, 6.65, 0.43, 29.40, 13735.08
443.00, 0.00, 908.20, 6.54, 0.43, 29.40, 13748.08
455.00, 0.00, 954.40, 8.14, 0.45, 29.40, 13719.63
467.00, 0.00, 973.30, 7.56, 0.47, 29.40, 13727.87
479.00, 0.00, 998.00, 6.60, 0.43, 29.40, 13725.20
492.00, 0.00, 929.40, 6.52, 0.45, 29.40, 13718.58
504.00, 0.00, 962.80, 8.15, 0.46, 29.40, 13711.38
516.00, 0.00, 935.70, 7.07, 0.46, 29.40, 13697.56
528.00, 0.00, 913.30, 6.57, 0.43, 29.40, 13705.81
540.00, 0.00, 915.70, 6.48, 0.44, 29.40, 13696.52
552.00, 0.00, 1001.30, 8.15, 0.46, 29.40, 13697.91
564.00, 0.00, 1016.90, 6.98, 0.46, 29.40, 13673.05
576.00, 0.00, 922.20, 6.54, 0.42, 29.40, 13682.70
588.00, 0.00, 952.60, 6.49, 0.45, 29.40, 13675.26
