Timestamp, Desired Position, Servo Current, Servo Voltage, Servo Potentiometer, Encoder, Force
2.00, 0.70, 22.60, 6.17, 0.26, -0.60, -10.10
6.00, 0.70, 22.20, 6.14, 0.25, -0.60, -6.50
18.00, 0.70, 19.80, 6.15, 0.26, -0.60, -9.99
30.00, 0.70, 977.40, 5.06, 0.28, -0.60, -19.05
42.00, 0.70, 535.50, 5.58, 0.35, 1.20, -16.14
54.00, 0.70, 312.70, 5.84, 0.45, 9.30, -18.23
66.00, 0.70, 214.80, 5.90, 0.55, 20.10, -25.55
78.00, 0.70, 172.50, 5.95, 0.66, 31.80, -7.67
90.00, 0.70, 134.40, 6.04, 0.76, 44.10, 4.53
102.00, 0.70, 147.00, 6.03, 0.88, 56.55, -7.32
114.00, 0.70, 134.50, 6.02, 1.00, 69.30, -13.82
126.00, 0.70, 128.60, 5.99, 1.12, 81.90, -23.81
138.00, 0.70, 138.10, 6.02, 1.26, 94.65, -22.42
150.00, 0.70, 140.70, 6.06, 1.38, 107.25, -12.31
162.00, 0.70, 144.60, 6.02, 1.52, 119.85, -12.78
174.00, 0.70, 131.50, 6.01, 1.67, 132.45, -19.98
186.00, 0.70, 139.10, 5.99, 1.81, 145.05, -10.45
198.00, 0.70, 43.50, 6.30, 1.96, 157.80, -4.99
210.00, 0.70, 58.60, 6.17, 2.05, 170.25, -22.88
222.00, 0.70, 29.70, 6.16, 2.11, 179.25, -39.61
234.00, 0.70, 26.00, 6.03, 2.14, 184.20, -28.22
246.00, 0.70, 21.00, 6.14, 2.15, 186.75, -10.57
258.00, 0.70, 20.80, 6.17, 2.15, 187.80, -14.40
270.00, 0.70, 29.50, 6.16, 2.16, 188.25, -2.56
282.00, 0.70, 18.40, 6.15, 2.16, 188.40, -7.90
294.00, 0.70, 16.40, 6.16, 2.16, 188.70, -28.11
306.00, 0.70, 18.00, 6.16, 2.17, 188.70, -8.94
318.00, 0.70, 19.00, 6.15, 2.16, 188.70, -7.78
330.00, 0.70, 19.10, 6.17, 2.16, 188.70, -14.87
343.00, 0.70, 19.20, 6.01, 2.16, 188.70, -22.30
355.00, 0.70, 16.00, 6.17, 2.15, 188.70, -18.93
367.00, 0.70, 12.60, 6.16, 2.15, 188.70, -19.63
379.00, 0.70, 12.80, 6.17, 2.16, 188.70, -22.07
391.00, 0.70, 17.10, 6.14, 2.16, 188.70, -20.79
403.00, 0.70, 12.90, 6.15, 2.15, 188.70, -15.21
415.00, 0.70, 15.80, 6.17, 2.16, 188.70, -22.65
427.00, 0.70, 16.60, 6.17, 2.16, 188.70, -18.70
439.00, 0.70, 16.10, 6.15, 2.16, 188.70, -11.38
451.00, 0.70, 15.50, 6.16, 2.16, 188.70, -23.34
463.00, 0.70, 15.90, 6.17, 2.16, 188.70, -10.34
475.00, 0.70, 16.00, 6.14, 2.15, 188.70, -9.76
487.00, 0.70, 15.70, 6.15, 2.16, 188.70, -24.04
499.00, 0.70, 16.00, 6.16, 2.16, 188.70, -21.84
511.00, 0.70, 16.50, 6.17, 2.15, 188.70, -18.35
523.00, 0.70, 16.80, 6.17, 2.15, 188.70, -18.47
535.00, 0.70, 16.80, 6.17, 2.16, 188.70, -10.22
547.00, 0.70, 16.70, 6.10, 2.16, 188.70, -19.28
559.00, 0.70, 16.60, 6.17, 2.17, 188.70, -21.14
571.00, 0.70, 19.90, 6.17, 2.16, 188.70, -6.04
583.00, 0.70, 16.60, 6.15, 2.16, 188.70, -5.11
